epoch,loss,class_entropy,diversity,hypo_loss,class_acc,class_loss,perplexity,adverse_loss
0,1.8302,0.4346,0.2607,1.0901,0.5265,1.5313,2.1602,0.2970
1,1.4542,0.4313,3.7407,inf,0.5292,1.5252,inf,0.6859
2,1.2292,0.4297,4.0785,inf,0.5247,1.5468,inf,0.8338
3,1.0653,0.4519,4.1482,inf,0.5200,1.5385,inf,0.9443
4,0.9512,0.4487,4.1498,inf,0.5169,1.6118,inf,1.0668
5,0.8647,0.4677,4.1562,inf,0.5280,1.5121,inf,1.2053
6,0.7971,0.4670,4.1575,0.8518,0.5310,1.5046,1.8679,1.1799
7,0.7431,0.4728,4.1562,0.8231,0.5404,1.4482,1.8273,1.1654
8,0.6989,0.4817,4.1555,0.7985,0.5416,1.4364,1.7958,1.2178
9,0.6622,0.4813,4.1569,inf,0.5364,1.4331,inf,1.2351
10,0.6314,0.4897,4.1575,inf,0.5518,1.3936,inf,1.2502
11,0.6049,0.4979,4.1569,0.7224,0.5481,1.3591,1.6956,1.2609
12,0.5822,0.4924,4.1562,0.6927,0.5550,1.3678,1.6593,1.2706
13,0.5622,0.4882,4.1582,0.6640,0.5569,1.3488,1.6232,1.2702
14,0.5447,0.4949,4.1573,0.6622,0.5573,1.3406,1.6214,1.2777
15,0.5289,0.5027,4.1548,inf,0.5591,1.3028,inf,1.3007
16,0.5149,0.4974,4.1575,0.6291,0.5475,1.3628,1.5800,1.2659
17,0.5021,0.5031,4.1552,0.6257,0.5571,1.3266,1.5773,1.2865
18,0.4904,0.5002,4.1562,0.6175,0.5618,1.2994,1.5668,1.2333
19,0.4796,0.5034,4.1575,0.5997,0.5685,1.2904,1.5452,1.2993
