epoch,loss,class_entropy,diversity,hypo_loss,class_acc,class_loss,perplexity,adverse_loss
0,1.8292,0.4282,0.1162,1.0837,0.5754,1.3337,2.1495,0.3059
1,1.5137,0.4238,3.3808,1.0522,0.5386,1.5359,2.1151,0.5741
2,1.3468,0.4430,4.0308,inf,0.5266,1.5246,inf,0.7793
3,1.2055,0.4441,4.1262,1.0247,0.5296,1.5391,2.1089,0.8802
4,1.1094,0.4548,4.1460,inf,0.5242,1.5546,inf,0.9510
5,1.0415,0.4612,4.1505,0.9411,0.5393,1.4771,1.9876,1.0450
6,0.9906,0.4626,4.1475,inf,0.5469,1.4507,inf,1.1185
7,0.9517,0.4669,4.1481,0.8963,0.5413,1.4384,1.9258,1.0783
8,0.9212,0.4663,4.1500,inf,0.5504,1.4162,inf,1.1279
9,0.8957,0.4714,4.1478,0.8383,0.5640,1.3654,1.8504,1.1490
10,0.8747,0.4772,4.1546,inf,0.5463,1.4159,inf,1.1700
11,0.8562,0.4634,4.1492,0.7994,0.5561,1.3952,1.7939,1.2017
12,0.8404,0.4765,4.1546,0.7943,0.5667,1.3608,1.7864,1.1935
13,0.8264,0.4760,4.1528,inf,0.5524,1.3912,inf,1.1788
14,0.8138,0.4811,4.1528,0.7766,0.5529,1.3618,1.7630,1.1751
15,0.8025,0.4789,4.1512,0.7756,0.5605,1.3570,1.7609,1.1986
16,0.7920,0.4782,4.1521,0.7594,0.5599,1.3591,1.7397,1.1948
17,0.7826,0.4816,4.1532,0.7466,0.5634,1.3330,1.7220,1.1851
18,0.7739,0.4813,4.1528,0.7451,0.5641,1.3246,1.7195,1.2005
19,0.7658,0.4819,4.1539,0.7406,0.5642,1.3461,1.7146,1.1996
