epoch,loss,class_entropy,diversity,hypo_loss,class_acc,class_loss,perplexity,adverse_loss
0,1.8417,0.4316,0.1569,1.1190,0.5404,1.5001,2.2035,0.2977
1,1.4299,0.4308,3.9939,inf,0.5153,1.6229,inf,0.7626
2,1.1549,0.4505,4.1432,inf,0.5074,1.6404,inf,0.9357
3,0.9420,0.4745,4.1562,inf,0.5002,1.5869,inf,1.1010
4,0.7971,0.4835,4.1589,inf,0.5006,1.6182,inf,1.1690
5,0.6907,0.5040,4.1569,inf,0.5063,1.5446,inf,1.2248
6,0.6099,0.5036,4.1589,inf,0.5027,1.5591,inf,1.2241
7,0.5481,0.5008,4.1582,inf,0.5039,1.5604,inf,1.2858
8,0.4981,0.5088,4.1582,0.7006,0.5051,1.5309,1.6632,1.2912
9,0.4581,0.5179,4.1589,inf,0.5085,1.5175,inf,1.2798
10,0.4243,0.5176,4.1569,inf,0.5003,1.5409,inf,1.2674
11,0.3965,0.5266,4.1575,0.6041,0.5153,1.4643,1.5460,1.2918
12,0.3725,0.5304,4.1562,0.5939,0.5079,1.4771,1.5352,1.2849
13,0.3517,0.5289,4.1559,0.5643,0.5173,1.4499,1.5026,1.2971
14,0.3334,0.5263,4.1582,0.5404,0.5198,1.4367,1.4756,1.3201
15,0.3174,0.5276,4.1573,0.5272,0.5118,1.4712,1.4608,1.2629
16,0.3034,0.5359,4.1575,0.5069,0.5235,1.4248,1.4391,1.2508
17,0.2906,0.5405,4.1582,0.4931,0.5254,1.3856,1.4250,1.2649
18,0.2790,0.5361,4.1582,0.4795,0.5226,1.4275,1.4101,1.2573
19,0.2689,0.5429,4.1582,0.4661,0.5042,1.4353,1.3962,1.2256
