epoch,loss,class_entropy,diversity,hypo_loss,class_acc,class_loss,perplexity,adverse_loss
0,1.8508,0.4478,0.0515,1.1413,0.5335,1.4924,2.2364,0.3166
1,1.5013,0.4316,3.2240,1.0848,0.5522,1.4203,2.1643,0.4722
2,1.3255,0.4236,3.8178,inf,0.5583,1.4320,inf,0.6220
3,1.1927,0.4332,4.0608,inf,0.5528,1.4517,inf,0.8081
4,1.0946,0.4317,4.1251,0.9479,0.5565,1.4293,1.9939,0.9332
5,1.0213,0.4380,4.1410,inf,0.5563,1.4310,inf,1.0299
6,0.9656,0.4459,4.1442,inf,0.5603,1.3901,inf,1.0702
7,0.9223,0.4533,4.1404,inf,0.5563,1.3815,inf,1.0815
8,0.8875,0.4513,4.1424,inf,0.5554,1.4006,inf,1.1055
9,0.8588,0.4590,4.1464,0.8078,0.5650,1.3486,1.8062,1.1843
10,0.8344,0.4670,4.1485,0.7926,0.5665,1.3225,1.7866,1.1796
11,0.8136,0.4633,4.1501,0.7737,0.5762,1.3082,1.7600,1.1823
12,0.7954,0.4653,4.1528,0.7666,0.5785,1.2993,1.7504,1.1917
13,0.7791,0.4800,4.1501,0.7592,0.5690,1.3063,1.7421,1.1962
14,0.7647,0.4691,4.1478,0.7379,0.5721,1.3165,1.7146,1.1991
15,0.7517,0.4737,4.1512,0.7341,0.5681,1.3307,1.7118,1.2096
16,0.7399,0.4831,4.1494,0.7218,0.5713,1.2959,1.6932,1.2509
17,0.7291,0.4860,4.1481,0.7098,0.5775,1.2486,1.6790,1.2036
18,0.7190,0.4898,4.1494,0.7176,0.5789,1.2574,1.6873,1.1992
19,0.7098,0.4855,4.1521,0.6942,0.5798,1.2496,1.6589,1.1676
